Venue ID,Name,Category,Latitude,Longitude,Budget,Atmosphere,Taste,Cost_Performance,Service,Access
4b318ae3f964a520c10825e3,Pier 25e3,Pier,34.692686,135.50153,High,7,8,6,8,8
4b3ae51bf964a520956f25e3,Train Station 25e3,Train Station,34.702424,135.495908,Low,5,6,6,6,8
4b3ae90ff964a520b96f25e3,Subway 25e3,Subway,34.700942,135.499535,Low,7,6,9,8,5
4b500dedf964a520ec1b27e3,Tech Startup 27e3,Tech Startup,34.718072,135.48541,High,7,9,9,5,7
4b5435e7f964a5209bb427e3,Music Venue 27e3,Music Venue,34.697793,135.511342,Medium,8,4,7,5,9
4b547018f964a5204abb27e3,Cocktail Bar 27e3,Cocktail Bar,34.701041,135.505562,Low,10,7,3,4,6
4b550210f964a520a0d727e3,Department Store 27e3,Department Store,34.706812,135.498945,Low,6,5,7,7,9
4b551fb3f964a520fadb27e3,Department Store 27e3,Department Store,34.704131,135.500428,Low,9,9,6,7,7
4b5554eff964a520cbe127e3,Subway 27e3,Subway,34.681861,135.506905,High,4,6,8,6,8
4b5559ddf964a52036e227e3,Coffee Shop 27e3,Coffee Shop,34.6823,135.506696,Low,5,5,7,4,8
4b557f42f964a520bae527e3,Road 27e3,Road,34.697881,135.506205,High,9,5,5,4,5
4b55c120f964a5207dee27e3,Shrine 27e3,Shrine,34.699275,135.500817,High,8,5,7,7,7
4b563d4ff964a520ef0628e3,Subway 28e3,Subway,34.691336,135.496391,High,7,8,6,9,4
4b56441af964a520510828e3,Train Station 28e3,Train Station,34.698296,135.497046,Low,7,5,7,5,9
4b564833f964a520230928e3,Train Station 28e3,Train Station,34.697123,135.486574,High,9,9,5,7,9
4b565252f964a520260b28e3,Park 28e3,Park,34.685853,135.494621,Medium,8,5,5,7,5
4b565398f964a5207c0b28e3,Coffee Shop 28e3,Coffee Shop,34.706631,135.498998,Low,6,9,7,9,10
4b5670c4f964a520781028e3,Hospital 28e3,Hospital,34.680185,135.520037,Low,7,4,9,8,8
4b567919f964a520f81128e3,Bridge 28e3,Bridge,34.693003,135.500983,Low,5,8,5,4,7
4b567a2af964a5202b1228e3,Caf� 28e3,Caf�,34.688939,135.507097,Low,7,7,8,4,8
4b567dabf964a520b61228e3,Caf�� 28e3,Caf��,34.697021,135.495012,Low,8,4,4,4,4
4b568605f964a520e71328e3,Rest Area 28e3,Rest Area,34.690507,135.514458,High,7,6,6,4,6
4b568a27f964a520801428e3,Government Building 28e3,Government Building,34.685364,135.518332,High,6,4,6,8,5
4b568c22f964a520c21428e3,Chinese Restaurant 28e3,Chinese Restaurant,34.696076,135.495702,Low,5,4,7,4,7
4b568dfbf964a520041528e3,Italian Restaurant 28e3,Italian Restaurant,34.692247,135.504414,High,5,4,9,8,6
4b56c0c3f964a520541a28e3,Arcade 28e3,Arcade,34.70795,135.49936,Low,7,9,6,6,4
4b56c88af964a520211b28e3,Historic Site 28e3,Historic Site,34.687353,135.52582,High,6,8,9,6,4
4b56cad4f964a520581b28e3,Office 28e3,Office,34.699028,135.492266,High,8,5,9,6,4
4b56cccef964a520911b28e3,Convenience Store 28e3,Convenience Store,34.688792,135.507299,High,5,5,7,8,6
4b56ce5cf964a520b71b28e3,Subway 28e3,Subway,34.691592,135.506632,High,4,7,8,7,9
4b56cf14f964a520c41b28e3,Bookstore 28e3,Bookstore,34.696973,135.496407,Medium,8,8,6,8,7
4b56d847f964a520d21c28e3,Subway 28e3,Subway,34.682029,135.496917,Low,8,6,6,9,7
4b56da99f964a520121d28e3,Train Station 28e3,Train Station,34.694278,135.525536,Medium,5,5,8,9,4
4b56e0f4f964a520eb1d28e3,Subway 28e3,Subway,34.702871,135.497835,High,8,9,7,7,7
4b56e207f964a5200e1e28e3,Historic Site 28e3,Historic Site,34.68507,135.52305,Medium,7,7,9,9,6
4b56e98df964a520011f28e3,Road 28e3,Road,34.693572,135.527177,Low,5,7,4,9,4
4b56ea22f964a520191f28e3,Office 28e3,Office,34.692305,135.511281,Low,4,4,6,9,4
4b570686f964a5205d2328e3,Bar 28e3,Bar,34.702503,135.516225,High,9,8,3,6,9
4b570b9ef964a520382428e3,Wings Joint 28e3,Wings Joint,34.708284,135.527531,Medium,6,4,9,8,4
4b5719c0f964a520682628e3,Sake Bar 28e3,Sake Bar,34.708598,135.525863,Medium,8,5,6,6,9
4b572a3ef964a520102928e3,Caf�� 28e3,Caf��,34.715375,135.481034,Medium,4,7,4,9,4
4b57b21af964a520643c28e3,Building 28e3,Building,34.696902,135.496337,Low,5,7,7,9,5
4b57b3fef964a520cc3c28e3,Building 28e3,Building,34.693929,135.488436,Low,6,4,8,4,4
4b57bda1f964a520d23e28e3,Department Store 28e3,Department Store,34.701171,135.497947,Medium,6,4,5,5,7
4b57beb3f964a520f13e28e3,Department Store 28e3,Department Store,34.702142,135.498633,Low,9,8,4,4,6
4b57bf2cf964a5200a3f28e3,Ramen /  Noodle House 28e3,Ramen /  Noodle House,34.696868,135.49912,Low,9,7,8,6,5
4b57c014f964a520333f28e3,Food Truck 28e3,Food Truck,34.70316,135.497995,Medium,9,7,6,6,4
4b57c1aff964a5207e3f28e3,Bookstore 28e3,Bookstore,34.70092,135.498982,Low,9,8,7,5,9
4b57c24bf964a520a13f28e3,Fast Food Restaurant 28e3,Fast Food Restaurant,34.699698,135.500668,Medium,9,6,4,4,7
4b57c395f964a520dd3f28e3,Food Truck 28e3,Food Truck,34.704096,135.514283,Medium,6,9,8,6,7
4b57c503f964a520284028e3,Japanese Restaurant 28e3,Japanese Restaurant,34.706248,135.511591,High,7,6,7,6,5
4b57c55df964a520364028e3,Steakhouse 28e3,Steakhouse,34.703398,135.511465,Medium,6,6,7,7,4
4b57c560f964a520374028e3,American Restaurant 28e3,American Restaurant,34.68244,135.517313,Low,4,5,4,6,7
4b57c5b1f964a5204b4028e3,Shrine 28e3,Shrine,34.696117,135.512635,High,4,4,5,9,5
4b57c9ccf964a5202f4128e3,Mall 28e3,Mall,34.681903,135.501074,Medium,6,7,5,4,7
4b57cb8df964a5208e4128e3,Building 28e3,Building,34.68269,135.520027,High,7,4,5,4,9
4b57cc33f964a520a44128e3,Coffee Shop 28e3,Coffee Shop,34.682925,135.520318,Low,8,8,8,6,5
4b57cdeaf964a520ea4128e3,Video Store 28e3,Video Store,34.703624,135.502067,Medium,4,6,6,6,7
4b57ce23f964a520f14128e3,Hotel 28e3,Hotel,34.690492,135.48702,Low,9,4,5,8,4
4b57cfb1f964a520424228e3,Sandwich Place 28e3,Sandwich Place,34.703747,135.500141,High,7,9,7,9,6
